City,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Predicted_AQI
Chicago,48.20855549577739,99.8728193165726,25.871845220287696,6.496119679708596,0.5505613343812666,65.57440181803787,36.08482304077033,36.63644677865271,11.797524569703672,44.40837421491766
Chicago,17.93368672276167,148.7416320949839,22.94374858582791,5.8483923124793,1.423284996470688,67.20693010246937,29.96595106487817,39.31354341891383,12.287804738098153,62.78490197103654
Chicago,34.75586495987434,60.36270312016256,45.298911103866494,21.80425589963121,1.4876710372539237,55.340881053267225,26.447717657370404,62.422983290811416,1.0484736809407784,54.33809688109532
Chicago,52.687176289333806,55.49660739197843,47.37566371854446,14.04805764831582,0.5433449151921871,55.06556232382753,20.85140341407812,41.4369097915226,23.23104593823613,44.50619841024293
Chicago,29.674062625069176,90.46622563584796,35.17799482574918,23.253534505594008,0.9831734360266136,37.55934876929049,25.165107586633447,68.27381627046518,13.811291246668612,45.79012965809317
Chicago,52.92627279820355,74.3493294429411,23.70807303670077,10.096415425095511,1.4075179675227538,44.83841960603431,35.80475823972054,52.63265750750512,5.940673586155601,55.84331699528839
Chicago,15.46434772598874,107.05132262963548,24.226824649381783,13.210974403799137,0.5065204041841865,57.464048194119584,21.358653066763885,45.58268633470289,16.904661993514313,36.20418591628368
Chicago,40.51827637258822,78.24148853703846,31.048708652281192,23.63975075803884,0.6722670399249293,44.9746885565656,33.00016121961101,54.9471037295049,11.668013822876294,40.937630014243005
Chicago,36.93739489968593,53.29299756726202,38.3434751341521,15.596108442714598,1.3029838165159846,55.15005405091487,25.64915363800214,77.42303585191026,6.859502876754661,44.41098459214936
Chicago,30.62571238514593,102.3544240086999,13.672665686863873,23.75688557908486,1.4554153360226425,29.515059507399886,39.74057293173402,34.444540915241326,17.204990603129104,50.389635309572135
Chicago,41.26930727095254,124.4237845411844,46.09707007288951,12.428773830552595,1.3541708394618888,47.741929025953866,25.109130811498787,74.21013479899983,8.022996025298434,57.44177653153447
Chicago,18.620586316760654,140.26219563451446,22.357165255422963,22.42054000167891,1.255796422318458,45.33844135830913,25.74911227815906,50.09848293837601,2.701264887083715,54.082422206294616
